Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,762.200012,762.200012,747.539978,759.440002,759.440002,3369100
2016-01-05,764.099976,769.200012,755.650024,761.530029,761.530029,2260800
2016-01-06,750.369995,765.72998,748,759.330017,759.330017,2410300
2016-01-07,746.48999,755.309998,735.280029,741,741,3156600
2016-01-08,747.799988,750.119995,728.919983,730.909973,730.909973,2375300
2016-01-11,731.950012,735.080017,719.559998,733.070007,733.070007,2544800
2016-01-12,740.75,748.340027,736.429993,745.340027,745.340027,2340800
2016-01-13,749.340027,753,716.780029,719.570007,719.570007,2586400
2016-01-14,724.440002,739.890015,705,731.390015,731.390015,2777900
2016-01-15,709.98999,724.159973,701.51001,710.48999,710.48999,3833800
2016-01-19,720.150024,725.349976,709.849976,719.080017,719.080017,2436200
2016-01-20,705.900024,726.950012,687.780029,718.559998,718.559998,4122000
2016-01-21,720.169983,737.669983,711.109985,726.669983,726.669983,2596900
2016-01-22,742,748.559998,740.5,745.460022,745.460022,2357300
2016-01-25,743.840027,752.460022,732.5,733.619995,733.619995,2267000
2016-01-26,735.210022,739.460022,726.969971,733.789978,733.789978,1547000
2016-01-27,735.890015,735.890015,713.450012,717.580017,717.580017,2121400
2016-01-28,738.190002,751.159973,730.599976,748.299988,748.299988,3105200
2016-01-29,748.960022,765.109985,744.200012,761.349976,761.349976,3790400
2016-02-01,771.26001,777.590027,761.380005,770.77002,770.77002,5576100
2016-02-02,800.5,810.349976,780.599976,780.909973,780.909973,6792300
2016-02-03,786.280029,791.429993,736.26001,749.380005,749.380005,6555700
2016-02-04,744.590027,745.23999,722.599976,730.030029,730.030029,5246100
2016-02-05,725.5,726.719971,700.140015,703.76001,703.76001,5477800
2016-02-08,687.679993,704.52002,682.01001,704.159973,704.159973,4470500
2016-02-09,692.950012,720.960022,688.5,701.02002,701.02002,4215000
2016-02-10,711.789978,723.219971,705.390015,706.849976,706.849976,3015700
2016-02-11,696.340027,712.320007,691.190002,706.359985,706.359985,3250200
2016-02-12,712.210022,716,701.580017,706.890015,706.890015,2326900
2016-02-16,718.650024,722.880005,710.179993,717.640015,717.640015,2172200
2016-02-17,727,733.76001,716.609985,731.969971,731.969971,2457700
2016-02-18,733.960022,736,715.549988,717.51001,717.51001,2363800
2016-02-19,715.900024,724.030029,713.119995,722.109985,722.109985,1745900
2016-02-22,729.51001,734.849976,723.450012,729.049988,729.049988,1875800
2016-02-23,726.099976,730.900024,715.669983,717.289978,717.289978,2066600
2016-02-24,710.609985,721.219971,702.02002,720.900024,720.900024,1854600
2016-02-25,722.929993,729.51001,713.22998,729.119995,729.119995,1807300
2016-02-26,733.599976,736.159973,721.940002,724.859985,724.859985,2123700
2016-02-29,721,730.599976,716.840027,717.219971,717.219971,2253400
2016-03-01,721.299988,742.330017,718.640015,742.169983,742.169983,3005600
2016-03-02,742.869995,743.119995,733.25,739.47998,739.47998,1814600
2016-03-03,739.47998,741,729.630005,731.590027,731.590027,2026700
2016-03-04,734.799988,735,725.619995,730.219971,730.219971,2425800
2016-03-07,725.150024,727.210022,705.140015,712.799988,712.799988,3084500
2016-03-08,708.390015,722.25,704,713.530029,713.530029,2626500
2016-03-09,715.169983,726.23999,712.659973,725.409973,725.409973,1977200
2016-03-10,727.789978,736.539978,723.289978,732.169983,732.169983,2230800
2016-03-11,739.950012,744.900024,736.700012,744.869995,744.869995,1769000
2016-03-14,744.969971,754.26001,743.659973,750.23999,750.23999,1641200
2016-03-15,746.02002,753.01001,742.840027,750.570007,750.570007,1491600
2016-03-16,749.049988,759,746.5,757.359985,757.359985,1465300
2016-03-17,757.650024,765.340027,757.359985,758.47998,758.47998,2228200
2016-03-18,761.630005,762.140015,751.820007,755.409973,755.409973,2811100
2016-03-21,753.909973,763.340027,751.27002,762.159973,762.159973,1438700
2016-03-22,758.440002,765,757.880005,760.049988,760.049988,1104800
2016-03-23,763.349976,765.390015,756.030029,757.559998,757.559998,1233900
2016-03-24,751.200012,757.559998,750.5,754.840027,754.840027,1555800
2016-03-28,756.169983,758.299988,752.039978,753.280029,753.280029,1083800
2016-03-29,753.679993,767.179993,748.289978,765.890015,765.890015,2003100
2016-03-30,768.210022,777.309998,767.580017,768.340027,768.340027,2019800
2016-03-31,768.340027,769.080017,758.25,762.900024,762.900024,1627700
